Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU02032210,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Employment Level - Construction and Extraction Occupations,,,,,,,,,,,
Labor force status:,Employed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Occupation:,Construction and extraction occupations,,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,8453,8272,8367,8274,8123,8352,8545,8415,8347,8365,8242,8143
2020,8015,8149,8029,6549,6872,7371,7675,,,,,
