Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032215,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Management, Professional, and Related Occupations",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,"Management, professional, and related occupations",,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,2.5,2.0,2.0,1.6,1.7,2.4,2.4,2.3,1.9,1.8,1.8,1.8
2020,2.2,1.8,2.5,7.7,6.6,6.5,6.6,,,,,
