,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
18,20200829,KS,41048.0,362099.0,0,0,443.0,0,0,403147.0,1658.0,0.00%,39390.0
34,20200829,NJ,191320.0,2616427.0,349,58204,15933.0,3,58553,2807747.0,33827.0,0.60%,157493.0
74,20200828,KS,41048.0,362099.0,1111,6939,443.0,6,8050,403147.0,1658.0,13.80%,39390.0
90,20200828,NJ,190971.0,2558223.0,358,0,15930.0,9,358,2749194.0,33778.0,100.00%,157193.0
130,20200827,KS,39937.0,355160.0,0,0,437.0,0,0,395097.0,1624.0,0.00%,38313.0
146,20200827,NJ,190613.0,2558223.0,307,26945,15921.0,7,27252,2748836.0,33744.0,1.13%,156869.0
186,20200826,KS,39937.0,355160.0,1536,6604,437.0,11,8140,395097.0,1624.0,18.87%,38313.0
202,20200826,NJ,190306.0,2531278.0,285,23404,15914.0,10,23689,2721584.0,33692.0,1.20%,156614.0
242,20200825,KS,38401.0,348556.0,0,0,426.0,0,0,386957.0,1535.0,0.00%,36866.0
258,20200825,NJ,190021.0,2507874.0,302,20781,15904.0,4,21083,2697895.0,33646.0,1.43%,156375.0
298,20200824,KS,38401.0,348556.0,1545,19097,426.0,7,20642,386957.0,1535.0,7.48%,36866.0
314,20200824,NJ,189719.0,2487093.0,225,27589,15900.0,3,27814,2676812.0,33626.0,0.81%,156093.0
354,20200823,KS,36856.0,329459.0,0,0,419.0,0,0,366315.0,1520.0,0.00%,35336.0
370,20200823,NJ,189494.0,2459504.0,258,0,15897.0,3,258,2648998.0,33615.0,100.00%,155879.0
410,20200822,KS,36856.0,329459.0,0,0,419.0,0,0,366315.0,1520.0,0.00%,35336.0
426,20200822,NJ,189236.0,2459504.0,419,32629,15894.0,2,33048,2648740.0,33555.0,1.27%,155681.0
466,20200821,KS,36856.0,329459.0,966,5509,419.0,8,6475,366315.0,1520.0,14.92%,35336.0
482,20200821,NJ,188817.0,2426875.0,290,30195,15892.0,9,30485,2615692.0,33533.0,0.95%,155284.0
522,20200820,KS,35890.0,323950.0,0,0,411.0,0,0,359840.0,1472.0,0.00%,34418.0
538,20200820,NJ,188527.0,2396680.0,100,27395,15883.0,6,27495,2585207.0,33490.0,0.36%,155037.0
578,20200819,KS,35890.0,323950.0,723,4855,411.0,6,5578,359840.0,1472.0,12.96%,34418.0
594,20200819,NJ,188427.0,2369285.0,329,24638,15877.0,11,24967,2557712.0,33451.0,1.32%,154976.0
634,20200818,KS,35167.0,319095.0,0,0,405.0,0,0,354262.0,1409.0,0.00%,33758.0
650,20200818,NJ,188098.0,2344647.0,331,21344,15866.0,10,21675,2532745.0,33403.0,1.53%,154695.0
690,20200817,KS,35167.0,319095.0,1282,9937,405.0,3,11219,354262.0,1409.0,11.43%,33758.0
