,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
18,9/2/2020,KS,43940,375307,1328,4670,458,12,5998,419247,1730,22.14%,41752
34,9/2/2020,NJ,192595,2709672,305,42914,15937,0,43219,2902267,33991,0.71%,142667
74,9/1/2020,KS,42612,370637,0,0,446,0,0,413249,1673,0.00%,40493
90,9/1/2020,NJ,192290,2666758,330,800,15937,0,1130,2859048,33949,29.20%,142404
130,8/31/2020,KS,42612,370637,1564,8538,446,3,10102,413249,1673,15.48%,40493
146,8/31/2020,NJ,191960,2665958,349,21235,15937,0,21584,2857918,33912,1.62%,142111
186,8/30/2020,KS,41048,362099,0,0,443,0,0,403147,1658,0.00%,38947
202,8/30/2020,NJ,191611,2644723,291,28296,15937,4,28587,2836334,33893,1.02%,141781
242,8/29/2020,KS,41048,362099,0,0,443,0,0,403147,1658,0.00%,38947
258,8/29/2020,NJ,191320,2616427,349,58204,15933,3,58553,2807747,33827,0.60%,141560
298,8/28/2020,KS,41048,362099,1111,6939,443,6,8050,403147,1658,13.80%,38947
314,8/28/2020,NJ,190971,2558223,358,0,15930,9,358,2749194,33778,100.00%,141263
354,8/27/2020,KS,39937,355160,0,0,437,0,0,395097,1624,0.00%,37876
370,8/27/2020,NJ,190613,2558223,307,26945,15921,7,27252,2748836,33744,1.13%,140948
410,8/26/2020,KS,39937,355160,1536,6604,437,11,8140,395097,1624,18.87%,37876
426,8/26/2020,NJ,190306,2531278,285,23404,15914,10,23689,2721584,33692,1.20%,140700
466,8/25/2020,KS,38401,348556,0,0,426,0,0,386957,1535,0.00%,36440
482,8/25/2020,NJ,190021,2507874,302,20781,15904,4,21083,2697895,33646,1.43%,140471
522,8/24/2020,KS,38401,348556,1545,19097,426,7,20642,386957,1535,7.48%,36440
538,8/24/2020,NJ,189719,2487093,225,27589,15900,3,27814,2676812,33626,0.81%,140193
578,8/23/2020,KS,36856,329459,0,0,419,0,0,366315,1520,0.00%,34917
594,8/23/2020,NJ,189494,2459504,258,0,15897,3,258,2648998,33615,100.00%,139982
634,8/22/2020,KS,36856,329459,0,0,419,0,0,366315,1520,0.00%,34917
650,8/22/2020,NJ,189236,2459504,419,32629,15894,2,33048,2648740,33555,1.27%,139787
690,8/21/2020,KS,36856,329459,966,5509,419,8,6475,366315,1520,14.92%,34917
706,8/21/2020,NJ,188817,2426875,290,30195,15892,9,30485,2615692,33533,0.95%,139392
746,8/20/2020,KS,35890,323950,0,0,411,0,0,359840,1472,0.00%,34007
762,8/20/2020,NJ,188527,2396680,100,27395,15883,6,27495,2585207,33490,0.36%,139154
802,8/19/2020,KS,35890,323950,723,4855,411,6,5578,359840,1472,12.96%,34007
818,8/19/2020,NJ,188427,2369285,329,24638,15877,11,24967,2557712,33451,1.32%,139099
858,8/18/2020,KS,35167,319095,0,0,405,0,0,354262,1409,0.00%,33353
874,8/18/2020,NJ,188098,2344647,331,21344,15866,10,21675,2532745,33403,1.53%,138829
914,8/17/2020,KS,35167,319095,1282,9937,405,3,11219,354262,1409,11.43%,33353
930,8/17/2020,NJ,187767,2323303,312,20572,15856,4,20884,2511070,33381,1.49%,138530
970,8/16/2020,KS,33885,309158,0,0,402,0,0,343043,1399,0.00%,32084
986,8/16/2020,NJ,187455,2302731,13,28790,15852,2,28803,2490186,33320,0.05%,138283
1026,8/15/2020,KS,33885,309158,0,0,402,0,0,343043,1399,0.00%,32084
1042,8/15/2020,NJ,187442,2273941,278,31264,15850,7,31542,2461383,33264,0.88%,138328
1082,8/14/2020,KS,33885,309158,1338,7142,402,7,8480,343043,1399,15.78%,32084
1098,8/14/2020,NJ,187164,2242677,570,25581,15843,10,26151,2429841,33223,2.18%,138098
1138,8/13/2020,KS,32547,302016,0,0,395,0,0,334563,1367,0.00%,30785
1154,8/13/2020,NJ,186594,2217096,656,27018,15833,8,27674,2403690,33223,2.37%,137538
1194,8/12/2020,KS,32547,302016,817,7077,395,8,7894,334563,1367,10.35%,30785
1210,8/12/2020,NJ,185938,2190078,463,25243,15825,9,25706,2376016,33223,1.80%,136890
1250,8/11/2020,KS,31730,294939,0,0,387,0,0,326669,1319,0.00%,30024
1266,8/11/2020,NJ,185475,2164835,444,25820,15816,12,26264,2350310,33223,1.69%,136436
1306,8/10/2020,KS,31730,294939,1092,9065,387,7,10157,326669,1319,10.75%,30024
1322,8/10/2020,NJ,185031,2139015,258,21936,15804,4,22194,2324046,33013,1.16%,136214
1362,8/9/2020,KS,30638,285874,0,0,380,0,0,316512,1293,0.00%,28965
1378,8/9/2020,NJ,184773,2117079,344,48716,15800,5,49060,2301852,32977,0.70%,135996
1418,8/8/2020,KS,30638,285874,0,0,380,0,0,316512,1293,0.00%,28965
1434,8/8/2020,NJ,184429,2068363,368,-368,15795,9,0,2252792,32956,inf%,135678
1474,8/7/2020,KS,30638,285874,921,6873,380,12,7794,316512,1293,11.82%,28965
1490,8/7/2020,NJ,184061,2068731,360,22187,15786,11,22547,2252792,32956,1.60%,135319
1530,8/6/2020,KS,29717,279001,0,0,368,0,0,308718,1254,0.00%,28095
1546,8/6/2020,NJ,183701,2046544,374,42853,15775,7,43227,2230245,32811,0.87%,135115
1586,8/5/2020,KS,29717,279001,841,6038,368,3,6879,308718,1254,12.23%,28095
1602,8/5/2020,NJ,183327,2003691,357,21725,15768,7,22082,2187018,32749,1.62%,134810
1642,8/4/2020,KS,28876,272963,0,0,365,0,0,301839,1196,0.00%,27315
1658,8/4/2020,NJ,182970,1981966,356,0,15761,11,356,2164936,32697,100.00%,134512
1698,8/3/2020,KS,28876,272963,1064,8268,365,7,9332,301839,1196,11.40%,27315
1714,8/3/2020,NJ,182614,1981966,264,18438,15750,10,18702,2164580,32660,1.41%,134204
1754,8/2/2020,KS,27812,264695,0,0,358,0,0,292507,1178,0.00%,26276
1770,8/2/2020,NJ,182350,1963528,321,48859,15740,6,49180,2145878,32475,0.65%,134135
1810,8/1/2020,KS,27812,264695,0,0,358,0,0,292507,1178,0.00%,26276
1826,8/1/2020,NJ,182029,1914669,369,0,15734,12,369,2096698,32475,100.00%,133820
1866,7/31/2020,KS,27812,264695,942,6616,358,9,7558,292507,1178,12.46%,26276
1882,7/31/2020,NJ,181660,1914669,690,36075,15722,11,36765,2096329,32475,1.88%,133463
1922,7/30/2020,KS,26870,258079,0,0,349,0,0,284949,1149,0.00%,25372
1938,7/30/2020,NJ,180970,1878594,204,16678,15711,11,16882,2059564,32423,1.21%,132836
1978,7/29/2020,KS,26870,258079,698,5315,349,14,6013,284949,1149,11.61%,25372
1994,7/29/2020,NJ,180766,1861916,471,57907,15700,18,58378,2042682,32365,0.81%,132701
2034,7/28/2020,KS,26172,252764,0,0,335,0,0,278936,1108,0.00%,24729
2050,7/28/2020,NJ,180295,1804009,483,-20,15682,22,463,1984304,32313,104.32%,132300
2090,7/27/2020,KS,26172,252764,1063,-94,335,9,969,278936,1108,109.70%,24729
2106,7/27/2020,NJ,179812,1804029,449,30103,15660,17,30552,1983841,32275,1.47%,131877
2146,7/26/2020,KS,25109,252858,0,0,326,0,0,277967,1077,0.00%,23706
2162,7/26/2020,NJ,179363,1773926,505,64627,15643,12,65132,1953289,32133,0.78%,131587
2202,7/25/2020,KS,25109,252858,0,0,326,0,0,277967,1077,0.00%,23706
2218,7/25/2020,NJ,178858,1709299,513,0,15631,11,513,1888157,32061,100.00%,131166
